date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:57:32	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Aug%202022%2003:27:56%20GMT	https://inst4-get.ischamber.org/robots.txt		(from )
08:57:32	12098/12098	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2016:22:15%20GMT	https://inst4-get.ischamber.org/	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/index.html	(from )
08:57:33	19835/19835	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/css/bootstrap-theme.min.css	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/css/bootstrap-theme.min.css	(from https://inst4-get.ischamber.org/)
08:57:33	113520/113520	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/css/bootstrap.min.css	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/css/bootstrap.min.css	(from https://inst4-get.ischamber.org/)
08:57:34	2343/2343	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/css/fontello.css	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/css/fontello.css	(from https://inst4-get.ischamber.org/)
08:57:34	9478/9478	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/css/main.css	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/css/main.css	(from https://inst4-get.ischamber.org/)
08:57:35	16996/16996	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/js/globals.js	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/js/globals.js	(from https://inst4-get.ischamber.org/)
08:57:38	12098/12098	---M-Z	200	added ('OK')	text/html	date:Sun,%2028%20Aug%202022%2016:22:15%20GMT	https://inst4-get.ischamber.org/index.html	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/index-2.html	(from https://inst4-get.ischamber.org/)
08:57:38	10429/10429	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/images/insta-logo.png	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/images/insta-logo.png	(from https://inst4-get.ischamber.org/)
08:57:39	6017/6017	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/user-icons/default.png	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/user-icons/default.png	(from https://inst4-get.ischamber.org/)
08:57:39	82929/82929	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/images/insta-bg.jpg	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/images/insta-bg.jpg	(from https://inst4-get.ischamber.org/)
08:57:39	25802/25802	---M--	200	added ('OK')	image/gif	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/img/loading.gif	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/img/loading.gif	(from https://inst4-get.ischamber.org/)
08:57:41	35601/35601	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/js/vendor/bootstrap.min.js	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/js/vendor/bootstrap.min.js	(from https://inst4-get.ischamber.org/)
08:57:41	86709/86709	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/js/vendor/jquery-3.1.1.min.js	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/js/vendor/jquery-3.1.1.min.js	(from https://inst4-get.ischamber.org/)
08:57:41	6024/6024	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/js/generator.js	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/js/generator.js	(from https://inst4-get.ischamber.org/)
08:57:42	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2020:52:32%20GMT	https://inst4-get.ischamber.org/fonts/glyphicons-halflings-regular.html	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/fonts/glyphicons-halflings-regular.html	(from https://inst4-get.ischamber.org/css/bootstrap.min.css)
08:57:42	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2020:52:32%20GMT	https://inst4-get.ischamber.org/fonts/glyphicons-halflings-regulard41dd41dd41d.html?	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/fonts/glyphicons-halflings-regulard41dd41dd41dd41d.html	(from https://inst4-get.ischamber.org/css/bootstrap.min.css)
08:57:43	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2020:52:32%20GMT	https://inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-2.html	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-2.html	(from https://inst4-get.ischamber.org/css/bootstrap.min.css)
08:57:43	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2020:52:32%20GMT	https://inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-3.html	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-3.html	(from https://inst4-get.ischamber.org/css/bootstrap.min.css)
08:57:44	298492/298492	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/images/insta-fav.png	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/images/insta-fav.png	(from https://inst4-get.ischamber.org/)
08:57:44	1238/1238	---M-Z	200	added ('OK')	text/html	date:Fri,%2019%20Aug%202022%2020:52:32%20GMT	https://inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-4.html	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/fonts/glyphicons-halflings-regular-4.html	(from https://inst4-get.ischamber.org/css/bootstrap.min.css)
08:57:44	7500/7500	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/font/fontello76fe76fe76fe.eot?85698104	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/font/fontello76fe76fe76fe76fe.eot	(from https://inst4-get.ischamber.org/css/fontello.css)
08:57:45	3864/3864	---M--	200	added ('OK')	font/woff2	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/font/fontello76fe76fe76fe.woff2?85698104	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/font/fontello76fe76fe76fe76fe.woff2	(from https://inst4-get.ischamber.org/css/fontello.css)
08:57:45	4576/4576	---M--	200	added ('OK')	font/woff	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/font/fontello76fe76fe76fe.woff?85698104	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/font/fontello76fe76fe76fe76fe.woff	(from https://inst4-get.ischamber.org/css/fontello.css)
08:57:46	7332/7332	---M--	200	added ('OK')	font/ttf	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/font/fontello76fe76fe76fe.ttf?85698104	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/font/fontello76fe76fe76fe76fe.ttf	(from https://inst4-get.ischamber.org/css/fontello.css)
08:57:48	4834/4834	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/font/fontello76fe76fe76fe.svg?85698104	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/font/fontello76fe76fe76fe76fe.svg	(from https://inst4-get.ischamber.org/css/fontello.css)
08:57:51	7489/7489	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2023:15:00%20GMT	https://inst4-get.ischamber.org/img/pbg.png	C:/My%20Web%20Sites/instagram%20cpa/inst4-get.ischamber.org/img/pbg.png	(from https://inst4-get.ischamber.org/css/main.css)
